Goal,X,Y,C,Distance,Angle
1,10,66,16.0,14.778700890132395,0.35868342997638314
1,12,37,13.0,15.17110740849197,0.40228502943306477
1,13,49,1.0,13.665467427058616,0.5228832076788991
1,9,66,16.0,14.052135069091813,0.35947975315199954
1,7,59,9.0,9.393880987110705,0.6232345110872599
1,11,38,12.0,13.93709080116794,0.43731158474742216
1,6,52,2.0,6.432728814430155,1.025372627090774
1,22,46,4.0,23.245859846432868,0.31049489894234183
1,8,37,13.0,11.914801718870523,0.44610227378018025
1,11,58,8.0,12.66658991204815,0.5218037806113346
1,11,41,9.0,12.947007376224052,0.5014474542557615
1,10,53,3.0,10.679536506796538,0.6521383456057817
1,18,20,30.0,27.156214758320054,0.1887958149563039
1,19,52,2.0,19.992311021990428,0.3614294030221847
1,22,36,14.0,24.827806991355477,0.27338566993338587
1,7,42,8.0,9.003471552684553,0.6717464204924444
1,3,45,5.0,4.526035793053342,1.272510127702622
1,10,44,6.0,11.200892821556682,0.6011698894359486
1,9,42,8.0,10.786218058244511,0.591643556025191
1,24,40,10.0,26.024795868555817,0.2710152135563174
1,3,56,6.0,5.013232490120521,1.0999616478160181
1,8,44,6.0,9.26120942425988,0.7042514439477466
1,6,45,5.0,7.088899773589692,0.8965302427131067
1,22,41,9.0,23.829236244579892,0.2960190429979611
1,12,43,7.0,13.396361446303246,0.5069724665686698
1,13,57,7.0,14.388363353766126,0.4763868532411363
1,11,68,18.0,16.440574807469478,0.3179400488056638
1,27,44,6.0,28.616996697766872,0.25213698550662195
1,9,64,14.0,13.119165369793917,0.41101006673332774
1,7,53,3.0,7.604275113381945,0.8805236779631288
1,15,67,17.0,19.239672554386157,0.31255764826376803
1,17,45,5.0,18.14345612059621,0.39231452383640797
1,5,48,2.0,5.408558033339386,1.179460127203922
1,12,40,10.0,14.177799547179385,0.4569083224019795
1,11,41,9.0,12.947007376224052,0.5014474542557615
1,13,42,8.0,14.606933285258751,0.46338573138626593
1,4,43,7.0,6.192132104533947,0.8891188201608187
1,14,63,13.0,16.955603793436552,0.37409046709081273
1,4,54,4.0,4.9396356140913875,1.2270686920947695
1,10,66,16.0,14.778700890132395,0.35868342997638314
1,12,64,14.0,15.542522317822161,0.3841365349484985
1,23,43,7.0,24.57488555415874,0.2908650574235321
1,10,47,3.0,10.679536506796538,0.6521383456057817
1,14,53,3.0,14.82877270713932,0.4803789265972236
1,12,50,0.0,12.6,0.5653932311874568
1,9,58,8.0,10.786218058244511,0.591643556025191
1,26,59,9.0,27.91975107338889,0.25515723613473873
1,17,53,3.0,17.956196701974505,0.4000177485012383
1,3,47,3.0,3.704726710568541,1.5565115842075001
1,4,50,0.0,4.2,1.4336073198863475
1,3,47,3.0,3.704726710568541,1.5565115842075001
1,12,29,21.0,18.57639631360184,0.2712176259591417
1,6,47,3.0,6.594884381094182,0.9925712015286787
